"","PlayerName","TotalPts","State","Pre-Rating","OppAvgRating"
"1"," GARY HUA                        ","6.0  ","   ON ",1794,1841.28571428571
"2"," DAKSHESH DARURI                 ","6.0  ","   MI ",1553,1661.85714285714
"3"," ADITYA BAJAJ                    ","6.0  ","   MI ",1384,1652
"4"," HANSHI ZUO                      ","5.5  ","   MI ",1655,1748.28571428571
"5"," HANSEN SONG                     ","5.0  ","   OH ",1686,1713
"6"," EZEKIEL HOUGHTON                ","5.0  ","   MI ",1641,1646.28571428571
"7"," STEFANO LEE                     ","5.0  ","   ON ",1411,1690
"8"," ANVIT RAO                       ","5.0  ","   MI ",1365,1641.42857142857
"9"," CAMERON WILLIAM MC LEMAN        ","4.5  ","   MI ",1712,1709.42857142857
"10"," TORRANCE HENRY JR               ","4.5  ","   MI ",1666,1796.14285714286
"11"," ZACHARY JAMES HOUGHTON          ","4.5  ","   MI ",1220,1574.14285714286
"12"," RONALD GRZEGORCZYK              ","4.0  ","   MI ",1629,1816
"13"," DIPANKAR ROY                    ","4.0  ","   MI ",1564,1687.14285714286
"14"," JASON ZHENG                     ","4.0  ","   MI ",1595,1757.57142857143
"15"," ALAN BUI                        ","4.0  ","   ON ",1363,1562.28571428571
"16"," MICHAEL R ALDRICH               ","4.0  ","   MI ",1229,1325.42857142857
"17"," LOREN SCHWIEBERT                ","3.5  ","   MI ",1745,1496.28571428571
"18"," MAX ZHU                         ","3.5  ","   ON ",1579,1697.85714285714
"19"," SOFIA ADINA STANESCU-BELLU      ","3.5  ","   MI ",1507,1724
"20"," GEORGE AVERY JONES              ","3.5  ","   ON ",1522,1481.14285714286
"21"," RISHI SHETTY                    ","3.5  ","   MI ",1494,1571.57142857143
"22"," JOSHUA PHILIP MATHEWS           ","3.5  ","   ON ",1441,1633.28571428571
"23"," JADE GE                         ","3.5  ","   MI ",1449,1581.71428571429
"24"," MICHAEL JEFFERY THOMAS          ","3.5  ","   MI ",1399,1482
"25"," JOSHUA DAVID LEE                ","3.5  ","   MI ",1438,1432.42857142857
"26"," FOREST ZHANG                    ","3.0  ","   MI ",1348,1620.14285714286
"27"," JARED GE                        ","3.0  ","   MI ",1332,1381.28571428571
"28"," ROBERT GLEN VASEY               ","3.0  ","   MI ",1283,1536.42857142857
"29"," DEREK YAN                       ","3.0  ","   MI ",1242,1420.71428571429
"30"," JACOB ALEXANDER LAVALLEY        ","3.0  ","   MI ",377,1484.85714285714
"31"," ERIC WRIGHT                     ","2.5  ","   MI ",1362,1550
"32"," TEJAS AYYAGARI                  ","2.5  ","   MI ",1011,1384.57142857143
"33"," ETHAN GUO                       ","2.5  ","   MI ",935,1631
"34"," JEZZEL FARKAS                   ","1.5  ","   ON ",955,1447.42857142857
"35"," BEN LI                          ","1.0  ","   MI ",1163,1610
